Date;Open*;High;Low;Close**;Volume;Market Cap
Oct 08, 2022;1,332.37;1,335.95;1,307.07;1,315.50;5,804,676,208;161,427,190,438
Oct 07, 2022;1,351.84;1,359.33;1,321.75;1,332.52;10,061,619,355;163,496,205,911
Oct 06, 2022;1,352.81;1,380.40;1,349.45;1,351.71;12,033,514,861;165,831,763,020
Oct 05, 2022;1,361.97;1,362.45;1,320.86;1,352.84;9,774,451,820;165,950,737,480
Oct 04, 2022;1,323.28;1,364.97;1,320.08;1,362.13;10,139,774,963;167,070,804,931
Oct 03, 2022;1,276.16;1,326.55;1,271.15;1,323.44;10,153,070,907;162,306,742,246
Oct 02, 2022;1,311.75;1,316.33;1,275.34;1,276.09;7,578,351,650;156,481,992,825
Oct 01, 2022;1,328.19;1,332.52;1,306.10;1,311.64;6,227,961,237;160,822,630,103
Sep 30, 2022;1,335.65;1,368.74;1,320.38;1,327.98;14,250,100,093;162,806,430,081
Sep 29, 2022;1,337.55;1,348.11;1,293.19;1,335.65;13,796,915,736;163,728,077,713
Sep 28, 2022;1,329.54;1,351.96;1,267.87;1,337.41;18,994,979,566;163,924,504,661
Sep 27, 2022;1,335.34;1,396.89;1,308.99;1,330.13;17,870,598,937;163,012,762,381
Sep 26, 2022;1,294.39;1,335.53;1,282.05;1,335.32;16,034,549,271;163,630,053,852
Sep 25, 2022;1,317.94;1,333.37;1,275.63;1,294.22;11,802,651,633;158,574,740,489
Sep 24, 2022;1,328.24;1,346.26;1,312.64;1,317.99;12,098,209,717;161,469,074,852
Sep 23, 2022;1,327.48;1,353.29;1,270.20;1,328.26;18,771,106,339;162,707,764,850
Sep 22, 2022;1,251.57;1,336.16;1,240.97;1,327.68;18,461,527,259;162,617,761,176
Sep 21, 2022;1,324.22;1,384.48;1,229.43;1,252.61;20,643,507,800;153,404,799,858
Sep 20, 2022;1,377.62;1,381.97;1,319.20;1,324.39;14,722,317,220;162,176,944,253
Sep 19, 2022;1,335.27;1,388.27;1,287.42;1,377.54;18,712,714,223;168,666,096,121
Sep 18, 2022;1,469.71;1,469.71;1,331.49;1,335.33;15,762,284,723;163,478,613,612
Sep 17, 2022;1,432.88;1,473.06;1,415.04;1,469.74;10,798,098,671;179,913,195,987
