,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0x296f8cf6bcd0af0c67e10405d5738ad16705105a3828b9bb2585faf4ef871a45,1611079452,2021-01-19 18:04:12,Bid Won,0xde48537ce6df7f50daf3989e3202636b09b55f5b,0xmons.xyz,4,721,1,0.3 WETH ($410.30),OpenSea
1,0x024c049be4a57a5f2989bacdff1f2d73a3476cee677be73a5d75b6afcd882275,1611079532,2021-01-19 18:05:32,Bid Won,0x3007735d9154e38e2b256d3eaa46ece768cdb475,0xmons.xyz,3,721,1,0.25 WETH ($341.91),OpenSea
2,0x4d43aab9dca7ea768495adfd2acee234071d8c0fe905eca6e09c80322790837d,1611079627,2021-01-19 18:07:07,Bid Won,0x8150a0ab106b4d0aff29ff2fc74b4203a276681d,0xmons.xyz,2,721,1,0.25 WETH ($341.91),OpenSea
3,0x9626beecd07cb888bbf3d879ebe51603585661602eef686e42c952c9788ff58c,1611079651,2021-01-19 18:07:31,Bid Won,0xc49b82fb83798dfa51a93811bb1e8d8a02c7a208,0xmons.xyz,1,721,1,0.25 WETH ($341.91),OpenSea
4,0x2346254224434c5012566e886273bafa94c240d55a8ab981286da8104fe38e2a,1612166481,2021-02-01 08:01:21,Bought,0x3e81ea3a8a2d0b71a85468b02be83d09bfffe476,0xmons.xyz,62,721,1,0.5 ETH ($687.29),OpenSea
5,0x361591772e373846542f00999c1c5e289a61256a51764fb76bb1ba8dc904618a,1612295307,2021-02-02 19:48:27,Bid Won,0x5f82c97e9b1755237692a946ae814998bc0e2124,0xmons.xyz,32,721,1,0.5 WETH ($756.95),OpenSea
6,0x5b35c88a72d9fb9b40ce670e7acd5a3d2d5c0c3a38a1484604f280032f74bdf6,1612707261,2021-02-07 14:14:21,Bid Won,0x574d479d8cf0437b440ce692dd7c8f07c4e9bbed,0xmons.xyz,46,721,1,0.5 WETH ($807.32),OpenSea
7,0xe90d4eb2b38f97553a2a1880387edb5091e1ca7ae57597cfe2c95cc4806a78e9,1612707448,2021-02-07 14:17:28,Bid Won,0x574d479d8cf0437b440ce692dd7c8f07c4e9bbed,0xmons.xyz,20,721,1,0.5 WETH ($807.32),OpenSea
8,0x82652c2c7faa9008f1621e095fce8671bbc41acf7e57e007b1caa843ef089e0c,1612920625,2021-02-10 01:30:25,Bought,0x67d9057494e2e1b7361251043843db3c2abf8177,0xmons.xyz,16,721,1,"1.5 ETH ($2,614.50)",OpenSea
9,0x736494683e2725446f694f5774116d8358f1a51fcabfa4af95369b41e78f6dc8,1613040927,2021-02-11 10:55:27,Bid Won,0x67d9057494e2e1b7361251043843db3c2abf8177,0xmons.xyz,93,721,1,"1 WETH ($1,787.69)",OpenSea
10,0x74cf4df9ea837d09db932725597617e04159a4da57389c846feb30bd6c869f83,1613121461,2021-02-12 09:17:41,Bid Won,0x4b5922abf25858d012d12bb1184e5d3d0b6d6be4,0xmons.xyz,68,721,1,"0.75 WETH ($1,383.63)",OpenSea
11,0x19d7fc05ae3df787622290a8bf4d0f16b8805a28f68b1aa8afbef6c9edeb309e,1613150451,2021-02-12 17:20:51,Bid Won,0x6186290b28d511bff971631c916244a9fc539cfe,0xmons.xyz,29,721,1,0.5 WETH ($922.42),OpenSea
12,0x14ba51b9c4c09ff2e4399e7cacf73e812a9b8e14f0a597d7bfb4cb44894f1042,1613674610,2021-02-18 18:56:50,Bought,0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,0xmons.xyz,57,721,1,"5 ETH ($9,698.05)",OpenSea
13,0x31a81996caf02fcba6ebab9ac3c8076eb81d4934142719619b2a03446bc251b0,1613678151,2021-02-18 19:55:51,Bought,0x7173d417cfa1cdec794fa21f4ca8a71d181b2ca0,0xmons.xyz,134,721,1,"2 ETH ($3,879.22)",OpenSea
14,0x182bfcfc74f061007ed6585900f6383fc20489f3cd4e5c90e1595e83b62dd724,1613684418,2021-02-18 21:40:18,Bid Won,0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,0xmons.xyz,68,721,1,"3.5 WETH ($6,788.64)",OpenSea
15,0xdea2993c9dd681011a7cc47c61981216b3efbac496127383f1af16594003b63d,1613688725,2021-02-18 22:52:05,Bid Won,0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,0xmons.xyz,21,721,1,"3 WETH ($5,818.83)",OpenSea
16,0x1f599b3009656f541a01b35f2f3c5771f6cb416345efdfe73c09b24f4fced89a,1613690274,2021-02-18 23:17:54,Bought,0xfaf1031b02a994b80f12cc1ee4c0dcebbb946aa0,0xmons.xyz,62,721,1,"5 ETH ($9,698.05)",OpenSea
17,0xdd839034d4ee4cee1dbb17c035db450e651ae20e20aee8f291a8a14e1bec4dd3,1613708571,2021-02-19 04:22:51,Bid Won,0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,0xmons.xyz,31,721,1,"3.5 WETH ($6,851.15)",OpenSea
18,0x99ff9935f3525001fa4f1a9d28f83a3edcdf366e3a5f6134180a329f5432fce0,1613716444,2021-02-19 06:34:04,Bid Won,0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,0xmons.xyz,26,721,1,"3 WETH ($5,872.41)",OpenSea
19,0xaf4c23f7e0d84e7964d3a5614b643997d6890e0b6fa31e472639dcff5c78e962,1613716812,2021-02-19 06:40:12,Bid Won,0xfaf1031b02a994b80f12cc1ee4c0dcebbb946aa0,0xmons.xyz,49,721,1,"3 WETH ($5,872.41)",OpenSea
20,0x5cc3438321641ec0cc4e78df9765de320dcb3b91159008a0e9a1b7c47063d44b,1613722666,2021-02-19 08:17:46,Bought,0xb9ccfc18b941a2cc51a956aa6c83360eb9d58de7,0xmons.xyz,25,721,1,"4 ETH ($7,829.88)",OpenSea
21,0x4f82a5506b2c7e597afb97bd37e71756c66a6e0676d3e8e7d21bd0d846bf5b26,1613733786,2021-02-19 11:23:06,Bought,0xb9ccfc18b941a2cc51a956aa6c83360eb9d58de7,0xmons.xyz,24,721,1,"4 ETH ($7,829.88)",OpenSea
22,0x94546e118f706335bf33c418eab31bfc37f376ea584682b5c65dd3dc8000ee5d,1613768632,2021-02-19 21:03:52,Bought,0xfaf1031b02a994b80f12cc1ee4c0dcebbb946aa0,0xmons.xyz,33,721,1,"4.9 ETH ($9,591.60)",OpenSea
