,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0xea8d54956168d6e159af0b718d354c6ba7f72e49c4c8ad272dc2b60723f68e3a,1655451801,2022-06-17 07:43:21,Bought,0x7299125465910267540844456556384379739336,CryptoArte,1867,721,1,0.1 ETH ($108.52),OpenSea
1,0xab786c6124f0f9583f3fb9e9d25220e2476708233e76586dc5fb303550057dd3,1655569150,2022-06-18 16:19:10,Bought,0xeef700ab0e891a95004002f0b2902a9427a4beb6,CryptoArte,3103,721,1,0.051 WETH ($50.71),OpenSea
2,0x541649485acbc546dc11cf212c2b756a631cf246018ea98230e121bb820bee55,1655654068,2022-06-19 15:54:28,Bought,0x7550388440923147050085548419031869168840,CryptoArte,9857,721,1,"1.49 ETH ($1,679.27)",OpenSea
3,0xd7c4beef98a222ecc88e7601bf7d679cb811ee7fb9625c59af9631c9f375481a,1655667931,2022-06-19 19:45:31,Bought,0x8297472711226861861748078727025172144952,CryptoArte,3103,721,1,0.099 ETH ($111.58),OpenSea
4,0x0d58db824f2decc77e69e42a9e38b45d2abdec1962af7d44e7a23fd3099044ea,1655668003,2022-06-19 19:46:43,Bought,0x4883061526058187934460952009738407371576,CryptoArte,6570,721,1,0.095 ETH ($107.07),OpenSea
5,0x0c409fb3c7355ac3ce398ecc1771107d00f2be984ac5c38b492389afa13ac5e7,1655835674,2022-06-21 18:21:14,Bought,0x9265448298536218293929226502318316592328,CryptoArte,3833,721,1,0.12 ETH ($134.97),OpenSea
6,0x0bcd705704edf49b761e92f0a79479c78a3e84eb9b9a4e8023ef24d269ab3c98,1655838913,2022-06-21 19:15:13,Bought,0x6304660066354409417458320219606950339384,CryptoArte,3847,721,1,0.124 ETH ($139.46),OpenSea
7,0x6810c819ff90f2ec130519cd4960d23e662c2ff6550a506fbcbdcb1eb5ae2c64,1655871704,2022-06-22 04:21:44,Bought,0x2359939385964571864984736660331304837944,CryptoArte,6041,721,1,0.132 ETH ($138.38),OpenSea
8,0x423b7ac3f81e4ce88a102371ef470b878c5472b044e29acba742121bc9e1f4ef,1655875139,2022-06-22 05:18:59,Bought,0x1076506078575218646854891621493727567048,CryptoArte,708,721,1,0.25 ETH ($262.08),OpenSea
9,0xc4ebdcec891093af74ff79e8d9f442ba4d6ddcce81f7e0f22927ce091b9ed908,1655903877,2022-06-22 13:17:57,Bought,0x0075408094181908271763739484622760436536,CryptoArte,1916,721,1,"1.25 ETH ($1,310.38)",OpenSea
10,0x77ab39679e4cb2e1049f549a5a3210a23ba1f7a377d430cb8611f115cdb97718,1655931397,2022-06-22 20:56:37,Bought,0x5152831981139317929905653295290319641800,CryptoArte,2845,721,1,0.11 ETH ($115.31),OpenSea
11,0x4b3adef22ea7f25ff85f7b3dafd9f877af112e697bf5f05937f9ddda46c98e6c,1655931462,2022-06-22 20:57:42,Bought,0x9231246320439038667720935003026978249928,CryptoArte,2867,721,1,0.11 ETH ($115.31),OpenSea
12,0x91d97c1669af54205e0240beed00b9fba400da2afcb668eb29983d9dad535c3a,1655931539,2022-06-22 20:58:59,Bought,0x3734208816372483150369324717985420811464,CryptoArte,3691,721,1,0.114 ETH ($119.51),OpenSea
13,0xb22f9cfdff3e81ba984fa7b6d24f263b91bf1de4653d6379f97cbf32861b200c,1655931564,2022-06-22 20:59:24,Bought,0x5736195478432555832907044219897535783736,CryptoArte,5407,721,1,0.115 ETH ($120.55),OpenSea
14,0xbf7f7326948c9f56af28e7c50b06d9ab183d3a90e3a19d5c7a77b80c9734e1dd,1655936294,2022-06-22 22:18:14,Bought,0x0874888918066425361077675365792969137352,CryptoArte,5283,721,1,0.1 ETH ($104.83),OpenSea
15,0xd51d5aa0a9b74c71296558c8da0816149afc29e57b2edf8a1b5594c09f650d1b,1655958628,2022-06-23 04:30:28,Bought,0x4610953474768081429097666170081686315832,CryptoArte,3719,721,1,0.117 ETH ($133.78),OpenSea
16,0x2e00abe38357cca35aa048f0360f23617d5216f5bfdff0a15ce3c24110b59ece,1655978950,2022-06-23 10:09:10,Bought,0x6a86e4d1e0b81bfbe83e9813b4a8fef5a1c721bd,CryptoArte,8674,721,1,0.16 WETH ($182.95),OpenSea
17,0x0e902c045bdf71aac427a20fc3d3cbe6a03314123ba35f2b9f8c5410961e42cf,1656006330,2022-06-23 17:45:30,Bought,0x7729089370580782325691360691162205381432,CryptoArte,2778,721,1,0.11 ETH ($125.78),OpenSea
