,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0x5c175aefa1f9a369a0d35f317c1018096b622cc73bae4222159642363a74b284,1627928700,2021-08-02 18:25:00,Bought,0x722e9468d7f8c2710b6dbfdf70f01b045aca1851,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000050002,721,1,"3.79 ETH ($9,885.99)",OpenSea
1,0xad601ab2dc89db7a28773608b1924b75c31512798e7d1a1b0ce24f7dcdd8e5a0,1630220778,2021-08-29 07:06:18,Bought,0x93e45360f7e5b0b85d8e65dae9fa1a6f2af56819,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000050012,721,1,"6.9 ETH ($22,254.57)",OpenSea
2,0xf8a3ae976665095c69727c1a30308d939c70821f0210241f49ce0d2d31d8a2d0,1633789534,2021-10-09 14:25:34,Bid Won,0xcc6c1d21e8474b3578e69eb036c712ab08ffdfbb,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000030015,721,1,"22.3 WETH ($79,753.72)",OpenSea
3,0xd5742509c48e383f1750466589dd5a38dace1ea9e70ce423b8640d0f276f2d7b,1641102339,2022-01-02 05:45:39,Bid Won,0xf9c298545da80df7767c4e5a9296a071f13702b8,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000040013,721,1,"13 WETH ($49,801.96)",OpenSea
4,0xdb48ee4459051a5a630333e20e746b7e9c7732c4390bf714b4ee77d19b898611,1641657827,2022-01-08 16:03:47,Bought,0xe4855ea1e26865247d412c0891184b535e2fb849,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000040009,721,1,"13 ETH ($40,050.53)",OpenSea
5,0xc3531be1a1c2b110d03680bdeab0022c041836577f817724648661783787f1f5,1643383418,2022-01-28 15:23:38,Bought,0x254f65d832bda48da4f4ed5e961938617e4af987,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000050012,721,1,"11 ETH ($28,017.33)",OpenSea
6,0x7278eb4163fb90324d63932e71876ee29926db61c54c2919573a0e92f5a0624b,1657206671,2022-07-07 15:11:11,Bought,0x501531f3fedbe0b15448eced3d34f01c3cb40f84,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000020012,721,1,"7 WETH ($8,656.48)",OpenSea
7,0x54ea9100de146a6d9645e189ce2f388579e1ca14ba07bfed3b5970cdfca8a3de,1660676354,2022-08-16 18:59:14,Bought,0xf7f2475a0866ae4a8bb1c67b4e2277bd3319a101,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000040003,721,1,"9 WETH ($16,894.44)",OpenSea
8,0xaaf083b576755ab59f8563c4a153ed08725ee3f8de97b554a04d331d27d6b6b6,1660927546,2022-08-19 16:45:46,Bought,0x9172499869630304768360046284703941155094,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000040012,721,1,"9 WETH ($14,481.45)",OpenSea
9,0x667409873c1383d0b014632a7d045b96c061ec6d832ef322dc433d900563fc2a,1662780557,2022-09-10 03:29:17,Bought,0x3ce07d4d2a6bc87ab7eb19ec1abce6d923bbb1e4,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000020011,721,1,"5 WETH ($8,873.45)",OpenSea
10,0x512f626cdc37b3664a53d744a6403619689568e07b72e507abd275f83eb111d9,1664497331,2022-09-30 00:22:11,Bought,0x4571226945324391075285869735522853562090,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000020011,721,1,"9 ETH ($11,958.30)",OpenSea
