,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0xe161fff545e2076965e716098424f3408b24c03561547a9d3ab8a124cd12aa0d,1654704640,2022-06-08 16:10:40,Bought,0xf8caa60ba41d6d4dcad2b3d0be41c321179f4d8f,GODA Mint Pass,125,721,1,"7.77 ETH ($13,916.30)",OpenSea
1,0xe04530c8bfafad041ffb525857c78c10e0acaf04ce675df12f0a5b82e852d90f,1654704890,2022-06-08 16:14:50,Bought,0xf8caa60ba41d6d4dcad2b3d0be41c321179f4d8f,GODA Mint Pass,116,721,1,"5.5 ETH ($9,850.67)",OpenSea
2,0x8ab288bb8e8d94d5e42530f3902d82d5b3d53a4c989db6541ba58d16b3016fb7,1654704919,2022-06-08 16:15:19,Bought,0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,GODA Mint Pass,140,721,1,"4.99 ETH ($8,937.24)",OpenSea
3,0x1cae58e453746609ce2402a369ec804cb4101459d59bc0ff6e97cdd2670de1ff,1654704935,2022-06-08 16:15:35,Bid Won,0x42f137a29ceba7ddd964eca6b7b19a89fa6bdce9,GODA Mint Pass,139,721,1,"4 WETH ($7,164.12)",OpenSea
4,0x16e1d6bdb6ab64f7fe991d9aa7616e139c48990d8e73194a96a168011157c044,1654705159,2022-06-08 16:19:19,Bought,0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,GODA Mint Pass,163,721,1,"5 ETH ($8,955.15)",OpenSea
5,0xd4fe5d0667ebf7efcfc004a2f27bca307ffb526d2e3f97ddf2e8941c208f2ecb,1654705215,2022-06-08 16:20:15,Bought,0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,GODA Mint Pass,175,721,1,"4.9 ETH ($8,776.05)",OpenSea
6,0xe395fd6f83ac8d138a2387028d26eb2b6f4ec1a28f2e2e6b29804e4bf01e7a3b,1654705218,2022-06-08 16:20:18,Bought,0x08046e2349017615d53d3977c307d39ab4eeb3cf,GODA Mint Pass,170,721,1,"4.9 ETH ($8,776.05)",OpenSea
7,0xb9e5494d66bcedb87e116ad3e65f9328773e3e1fdebcc77c72e7b14069bb29bf,1654705446,2022-06-08 16:24:06,Bought,0xd25c299d3604c1f3356c4a1c415b84ac5bee7804,GODA Mint Pass,154,721,1,"4 ETH ($7,164.12)",OpenSea
8,0x4041feae5b95e7571ae9f9e8113775ada7c5ae6d562098f7dc0762d0d3c7ddad,1654705498,2022-06-08 16:24:58,Bid Won,0xd25c299d3604c1f3356c4a1c415b84ac5bee7804,GODA Mint Pass,172,721,1,"4 WETH ($7,164.12)",OpenSea
9,0x2075bfda703ebb441233f3302a8cccd65d346e77130d4e0e720d93c5193bffb9,1654705608,2022-06-08 16:26:48,Bought,0x08046e2349017615d53d3977c307d39ab4eeb3cf,GODA Mint Pass,204,721,1,"3 ETH ($5,373.09)",OpenSea
10,0x4d9d84b95ef2c3a3257da3a655c3ee41325e74bbc6aa19267664249f90717816,1654705608,2022-06-08 16:26:48,Bid Won,0x42f137a29ceba7ddd964eca6b7b19a89fa6bdce9,GODA Mint Pass,186,721,1,"3 WETH ($5,373.09)",OpenSea
11,0x88cb852f3d7209295fe78618a4587ebecc57dfeed372838eae65bdb04d7b5459,1654705675,2022-06-08 16:27:55,Bought,0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,GODA Mint Pass,211,721,1,"3 ETH ($5,373.09)",OpenSea
12,0xf4d7537fb8c82e2d24b6fb7e7b3586f5270da6693ae65e6bdf10236669e1f306,1654705675,2022-06-08 16:27:55,Bought,0x5199d6204b788016353a201b8dad4668a71f1a8a,GODA Mint Pass,207,721,1,"3 ETH ($5,373.09)",OpenSea
13,0xd5328383f955143b8f0ded8d95d5d505ab21facff75138e7f29deeb5b5239a49,1654705675,2022-06-08 16:27:55,Bought,0xae016c7fa8707e7d3f0654e26efd510455af499d,GODA Mint Pass,160,721,1,"3.6 ETH ($6,447.71)",OpenSea
14,0x866726d785031014df063b6b49ac9b81ab4eab19b7c506be3ff2bd2e40164720,1654705710,2022-06-08 16:28:30,Bought,0xeaf962f4e403b174db79570d1dcfa0ac76b7a1bb,GODA Mint Pass,197,721,1,"3 ETH ($5,373.09)",OpenSea
15,0xaf19375a9587bbe6e32684beb6faf833be2a6c446b0d1be10f3899859248c94e,1654705723,2022-06-08 16:28:43,Bought,0x41aa7d375914ea1cb5a855642fc1924fd7e4ea17,GODA Mint Pass,159,721,1,"3.2 ETH ($5,731.30)",OpenSea
16,0x87c6638ae09868d5c2d5026a8649c063f07dc10c800aa137cc20dcd9cbdc6822,1654705731,2022-06-08 16:28:51,Bought,0xb585b60de71e48032e8c19b90896984afc6a660d,GODA Mint Pass,158,721,1,"2.95 ETH ($5,283.54)",OpenSea
17,0x30849a9d85d8654dfeb99c81d762a5bbbaefadf302b42fcb6b601670c60dbbd5,1654705735,2022-06-08 16:28:55,Bought,0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,GODA Mint Pass,203,721,1,"3 ETH ($5,373.09)",OpenSea
18,0xeff2d6ab548d546a0ed7c9135bd5b844565e99eac52b676ddce91e0438e85365,1654705735,2022-06-08 16:28:55,Bought,0xe604c0efbdf1c9164b18ca0645843b71fc42b5c9,GODA Mint Pass,227,721,1,"3 ETH ($5,373.09)",OpenSea
19,0x00b3c3fb4183dbdb42d29ae4693d066c2fd71f285dd346d5120f25198bebc1d7,1654705761,2022-06-08 16:29:21,Bought,0x46ecb3f576c31290e1a4b359fd993e36e86ef9e1,GODA Mint Pass,202,721,1,"3.1 ETH ($5,552.19)",OpenSea
20,0x2d02460037a851ca8095801c00fd45d44fd6c802430bc250a28def7e040bb121,1654705792,2022-06-08 16:29:52,Bought,0x5199d6204b788016353a201b8dad4668a71f1a8a,GODA Mint Pass,157,721,1,"3 ETH ($5,373.09)",OpenSea
21,0x8cd398a36d55015686157354ca52eb83aaf75031fe4b3c52ab416c7aa5b2a8b9,1654705792,2022-06-08 16:29:52,Bought,0x3b273eea2d043a76e2e77e9ced867d39d94720de,GODA Mint Pass,201,721,1,"3 ETH ($5,373.09)",OpenSea
