,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0x9f8db17a177f817616da4d55146920fd5fccf40418afbc6822e3dc1fbb748725,1627069483,2021-07-23 19:44:43,Bought,0x75b772f2bb4f47fbb31b14d6e034b81cb0a03730,Mutant Garden Seeder,12884523,721,1,0 ETH ,OpenSea
1,0x4e988adb604f63d6039e8667ebab576357c582ecf3f73b59b903d897613f41fb,1627069694,2021-07-23 19:48:14,Bought,0x9a9149f5464c9ac87ccf1bc5bc767d2d51d0043c,Mutant Garden Seeder,12884542,721,1,0.088 ETH ($187.05),OpenSea
2,0x2409d20de4ff01aabfa7d6664b2bfd31b190d06759d78dcaa185528b3404ef8f,1627069761,2021-07-23 19:49:21,Bought,0x9e64b47bbdb9c1f7b599f11987b84c416c0c4110,Mutant Garden Seeder,12884310,721,1,"1 ETH ($2,125.57)",OpenSea
3,0x588dca384a60aca9e7ec3866792e708a186402fd962d6be39d7f8b7a07b04302,1627070843,2021-07-23 20:07:23,Bought,0x202eca424a8db90924a4daa3e6bcecd9311f668e,Mutant Garden Seeder,12884058,721,1,"1.95 ETH ($4,144.86)",OpenSea
4,0x7a07db481c5998fb3e19633eb03eb552042e127e3ae1dd7d416262439a935976,1627070959,2021-07-23 20:09:19,Bought,0xe7ba0da73b9d15f5d628bc99a2c014d839691762,Mutant Garden Seeder,12884216,721,1,"0.8899 ETH ($1,891.54)",OpenSea
5,0x0e2d14c47c8d2605008f2454f1a6182008fb866b92109b7a1cc274e338d04e6c,1627071774,2021-07-23 20:22:54,Bought,0x16ffe3938b69132c72a5b0250708792db72971b4,Mutant Garden Seeder,12884452,721,1,"0.65 ETH ($1,381.62)",OpenSea
6,0xbe6e6a0728af3df1d02c3a440b247f76f056b5e45f3f61ed56d2d83092f1d107,1627072223,2021-07-23 20:30:23,Bought,0x50f27cdb650879a41fb07038bf2b818845c20e17,Mutant Garden Seeder,12884543,721,1,"0.7 ETH ($1,487.90)",OpenSea
7,0x66e5fceb17ff2240806b4aa60fba76dc4b2ff3b03280db99549ee556bcb8e5e3,1627072350,2021-07-23 20:32:30,Bought,0x2a565b45544df4864375be4b4008e5f8b6699bdf,Mutant Garden Seeder,12884419,721,1,"0.66 ETH ($1,402.88)",OpenSea
8,0x9a70ea28707e33026ddf8af57930d94900ede497d9e023fc61ac8c55bf2e86ea,1627072566,2021-07-23 20:36:06,Bought,0x16ffe3938b69132c72a5b0250708792db72971b4,Mutant Garden Seeder,12884231,721,1,"0.65 ETH ($1,381.62)",OpenSea
9,0xfa90fa1a5c7fe72d3848946da159f968105760b7d3a46d7cac9f98e1427911e3,1627072589,2021-07-23 20:36:29,Bought,0xec6d36a487d85cf562b7b8464ce8dc60637362ac,Mutant Garden Seeder,12884607,721,1,"0.8 ETH ($1,700.46)",OpenSea
10,0xaba8b5d820976b1b69ebfe44c90808122f3d5d9538f3c812829c4d41022fa096,1627072938,2021-07-23 20:42:18,Bought,0xec6d36a487d85cf562b7b8464ce8dc60637362ac,Mutant Garden Seeder,12884382,721,1,"0.6969 ETH ($1,481.31)",OpenSea
11,0xbd06e41e28673750f0aad5007a52eb5896ae319153435a49f7f56fcfee133317,1627073331,2021-07-23 20:48:51,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884365,721,1,"0.77 ETH ($1,636.69)",OpenSea
12,0x70f58900c685e24508064f99e52feb5c3d52d999b3de2b8675f933315eeccb94,1627073422,2021-07-23 20:50:22,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884183,721,1,"1 ETH ($2,125.57)",OpenSea
13,0x06156db4ccfccda27591b2f8213fc55ec06a9b6c517e68dca4cc761c79b20a0d,1627073597,2021-07-23 20:53:17,Bought,0x50f27cdb650879a41fb07038bf2b818845c20e17,Mutant Garden Seeder,12884280,721,1,"0.55 ETH ($1,169.06)",OpenSea
14,0x482eb045be5c2c22648c3375688974b8a54ff557997c6f1b6e8037daf10d1c76,1627073779,2021-07-23 20:56:19,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884416,721,1,"1.14 ETH ($2,423.15)",OpenSea
15,0x2080a911f6f9d45125eb7de9699e94057a3538f7d4879dd4a58c841bb8e2b782,1627073829,2021-07-23 20:57:09,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884273,721,1,"1.15 ETH ($2,444.41)",OpenSea
16,0x75f36500a2fcee2a062fdc94470fb40754bdbd741f62f4f2c6df5b2f22112b3b,1627074130,2021-07-23 21:02:10,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884290,721,1,"1 ETH ($2,125.57)",OpenSea
17,0x1aa4bcd5575477d63b2e1146beb9f47c63d4ba426499464b97aad533f30c913a,1627074283,2021-07-23 21:04:43,Bought,0x50f27cdb650879a41fb07038bf2b818845c20e17,Mutant Garden Seeder,12884209,721,1,"1.45 ETH ($3,082.08)",OpenSea
18,0x5b519710bf2207f99de35dadeeb93918c28609e4db0209efc976ed99371a84e0,1627074464,2021-07-23 21:07:44,Bought,0x7155b42ae4fe9d3db9fb0d8448759e5f87ffe6d9,Mutant Garden Seeder,12884446,721,1,"0.55 ETH ($1,169.06)",OpenSea
19,0x6d3c35fe5a0bc1b3815b98864f5f945dc489f02d33a5b3512fb89574acfdd746,1627074541,2021-07-23 21:09:01,Bought,0x910b48c25afc5b2a998458b62d467d482eca74af,Mutant Garden Seeder,12884466,721,1,"0.58 ETH ($1,232.83)",OpenSea
20,0x60db05a0306d2d34c370cc35e9fdcc61ed5cc75f9f2ca114ee2a460f73703833,1627074721,2021-07-23 21:12:01,Bought,0xe16df6503acd3c79b6e032f62c61752bec16eef2,Mutant Garden Seeder,12884593,721,1,"0.73 ETH ($1,551.67)",OpenSea
21,0x25e388903e1a7aaca0e4be533a7297235d092cac4336000630ba6e02fa32979a,1627074740,2021-07-23 21:12:20,Bought,0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,Mutant Garden Seeder,12884358,721,1,"0.59 ETH ($1,254.09)",OpenSea
22,0xfff9376ed0b733f12208aa60aeefb8c12565b54039d5d52a89e7f38c432ccc4a,1627074895,2021-07-23 21:14:55,Bought,0xe16df6503acd3c79b6e032f62c61752bec16eef2,Mutant Garden Seeder,12884281,721,1,"0.8 ETH ($1,700.46)",OpenSea
23,0xdea7db420a4a7444edce646513961b7d718840b2055a6c23a8722067069dc04b,1627075406,2021-07-23 21:23:26,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884254,721,1,"1 ETH ($2,125.57)",OpenSea
24,0xe590e95aa500d806859e8ce6829a79db6a548cea7a402f460000c09fb83a7c77,1627075583,2021-07-23 21:26:23,Bought,0xa9ef46b6c863b7d81b6f1bcd4cfe9e50275aa197,Mutant Garden Seeder,12884445,721,1,"0.65 ETH ($1,381.62)",OpenSea
25,0x75fec700ebaa5775b929dca2aef60a4a6bb8b557e48df3477328139f3b62153e,1627075657,2021-07-23 21:27:37,Bought,0x625d6405dcac9c82f4b681a131d9182115448f75,Mutant Garden Seeder,12884379,721,1,"0.85 ETH ($1,806.73)",OpenSea
26,0x4c0e5d1fcfc03888e301cad03ae3d0a4a67997371820c7a9d051908e5061cbba,1627076212,2021-07-23 21:36:52,Bought,0x6a7ea8945d0cdb9b53030f63b4b26263e4478c8f,Mutant Garden Seeder,12884391,721,1,"0.77 ETH ($1,636.69)",OpenSea
27,0xbed775a24fb0eb1adf9390b728f7058ea018315cce3690fc48efc9b6ea387614,1627080174,2021-07-23 22:42:54,Bought,0x0abb75f676d0c131c04324dd98150a39213edd41,Mutant Garden Seeder,12884446,721,1,"0.48 ETH ($1,020.27)",OpenSea
28,0xb147fb77ebfc5415ead1e6883467145f9a7f1fa5d67bd473e73e308be65964e9,1627080264,2021-07-23 22:44:24,Bought,0x0abb75f676d0c131c04324dd98150a39213edd41,Mutant Garden Seeder,12884536,721,1,"0.5 ETH ($1,062.79)",OpenSea
29,0x1522ab34a9b3f5ea6e892636c60a14925a51618b07a94e1ca9dcc4bfe69ab690,1627080998,2021-07-23 22:56:38,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884198,721,1,"0.55 ETH ($1,169.06)",OpenSea
30,0x30e6c28850db72e65e818c3a3debe75722d37f3550ae5bd2a71d989a6badf9b2,1627082620,2021-07-23 23:23:40,Bought,0xcaf6fd54fb74c95b28f5e94952ca21b46e4071cc,Mutant Garden Seeder,12884187,721,1,0.45 ETH ($956.51),OpenSea
31,0xef839cb572a99f6a7b0a556eca20ce960dd02c5a0c6917062749b704da596739,1627082703,2021-07-23 23:25:03,Bought,0x5f7f97063405ecb088b9b69e4253c84d4e20e5d4,Mutant Garden Seeder,12884385,721,1,"0.5 ETH ($1,062.79)",OpenSea
32,0xf254c51eca6a4e4cf6c5e88816cc1609fb70611e239521665ac9ffce9c50aa27,1627083386,2021-07-23 23:36:26,Bought,0x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,Mutant Garden Seeder,12884298,721,1,0.45 ETH ($956.51),OpenSea
33,0xc0fa28270d75a5385fcf950f22d019e494a0c87805b964e657f74078e99a5dab,1627084544,2021-07-23 23:55:44,Bought,0xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b,Mutant Garden Seeder,12884599,721,1,"0.55 ETH ($1,169.06)",OpenSea
