,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0xc85dcef20b60e4c6093b99a6b02f266758bb624bcfb70fafa69494028e89e081,1644804221,2022-02-14 02:03:41,Bought,0x3fb4ed8680aa12ffd6f7fda981730fb3e5e75ea5,PeopleInThePlaceTheyLove,312,721,1,"5 ETH ($14,655.60)",OpenSea
1,0xf3dca6008891da005b0bf8dc86e28cc2bae4efece12259662ef7afc8262eb6af,1644804611,2022-02-14 02:10:11,Bought,0x8f04680402ebe195676489a55617431fed9d7459,PeopleInThePlaceTheyLove,378,721,1,"4 ETH ($11,724.48)",OpenSea
2,0x410464512058534e76711311fe491b779a25deb6c217c6341f876ca669562527,1644804874,2022-02-14 02:14:34,Bought,0xa08a472b2983b5485442b0d3a7ba7d4b2ca8ca9a,PeopleInThePlaceTheyLove,216,721,1,"5 ETH ($14,655.60)",OpenSea
3,0x7e8a71b8f328e0b6e7d53d115a9f1b7978fd6b4e19376ba5e88404f6529bfc2f,1644804909,2022-02-14 02:15:09,Bought,0x8f04680402ebe195676489a55617431fed9d7459,PeopleInThePlaceTheyLove,436,721,1,"5.345 ETH ($15,666.84)",OpenSea
4,0xe8673e8c815f8f6cd2ace32a1e4f0438b885c6fc93728fc06f41b3478c5c85f9,1644805075,2022-02-14 02:17:55,Bought,0xcf51e6bcb08ef4b7467462d9ebd438dd80518d78,PeopleInThePlaceTheyLove,207,721,1,"6.66 ETH ($19,521.26)",OpenSea
5,0x8c50df8b11be099031c88ff29303426f594196e06695063ee5c2996a8d9a3333,1644805286,2022-02-14 02:21:26,Bought,0xab790af3287ed13808b6aa6a84f78afc3a8ae9cd,PeopleInThePlaceTheyLove,484,721,1,"6.2 ETH ($18,172.94)",OpenSea
6,0x408d5bfc6ae913750b51df2491f7901b4a28edc6a5356dbcd331f7833a2af404,1644805350,2022-02-14 02:22:30,Bought,0xcf51e6bcb08ef4b7467462d9ebd438dd80518d78,PeopleInThePlaceTheyLove,492,721,1,"6.9 ETH ($20,224.73)",OpenSea
7,0x1803b4db12ccf4ece336891e31dc42710d73a40027c5e5588a5f48552b63f881,1644806187,2022-02-14 02:36:27,Bid Won,0x52462b3a4793ea2742a55f02999bd2a76dbae54e,PeopleInThePlaceTheyLove,484,721,1,"5 WETH ($14,655.60)",OpenSea
8,0xa09b4c0d367455ff743eda9babf95588f5d87416eb61743ca46e5057f8044e9a,1644806230,2022-02-14 02:37:10,Bought,0xf4907a4034b88d63f72670ba224bd9df6f575eeb,PeopleInThePlaceTheyLove,388,721,1,"6.58 ETH ($19,286.77)",OpenSea
9,0x53e35d4570c7830febbce9656bf15c0eb5afb7537916c5c2bef642ad844d1975,1644806693,2022-02-14 02:44:53,Bid Won,0x4e9057b9e52e4a96d4e17f6d7073ffc119a1983a,PeopleInThePlaceTheyLove,523,721,1,"5 WETH ($14,655.60)",OpenSea
