,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0x58eec7a5a8c5a3fd1cfb010dc68d9f69e62007e551e594215cb813f559040366,1618953774,2021-04-20 21:22:54,Bought,0x59a5493513ba2378ed57ae5ecfb8a027e9d80365,TRAITORS by XCOPY,33500010005,721,1,"10 ETH ($23,324.50)",OpenSea
1,0xb7a5856c2ab0d7e6be233088438b25190b369a68d89247cb5265f5b9a68dab50,1626427820,2021-07-16 09:30:20,Bought,0xcedec45e06cbb9032625830c5ffb0cf3fad1cf67,TRAITORS by XCOPY,33500010012,721,1,"5.2 ETH ($9,760.66)",OpenSea
2,0x543b5034380fd27f64e1461cd65c16b1e12b2f3ea47a24c426292db1eab3fa2c,1627428617,2021-07-27 23:30:17,Bought,0x38a161d47f01b375f505fcb13e73a315819c7eb3,TRAITORS by XCOPY,33500010020,721,1,"6.8 ETH ($15,653.46)",OpenSea
3,0xa3fa63f17e5cf30c2d1dc75881c138b11a964cfb234c1cf6e8a7739bc98e000c,1627833144,2021-08-01 15:52:24,Bought,0x5ea12341d073ec5a1226b85f0478413a19081535,TRAITORS by XCOPY,33500010009,721,1,"10 ETH ($25,564.10)",OpenSea
4,0x44c20af0bdf3f35265d3f9e4a9c853a9ffd90b9dd4569cccdd1dbca59a9498ea,1628014562,2021-08-03 18:16:02,Bid Won,0xaee2ae13ebf81d38df5a9ed7013e80ea3f72e39b,TRAITORS by XCOPY,33500010002,721,1,"10 WETH ($25,082.10)",OpenSea
5,0x165aa9919d9b0039fe90e873112651f55e2a0c24c0e763a7f1d311570e513768,1628093095,2021-08-04 16:04:55,Bought,0x722e9468d7f8c2710b6dbfdf70f01b045aca1851,TRAITORS by XCOPY,33500010001,721,1,"14 ETH ($38,160.08)",OpenSea
6,0x28694c1854f190efd908f34a4cc5d17940e09b35f3c1233b3c44e77472c2ffb5,1628954856,2021-08-14 15:27:36,Bought,0xde0b910f192aa831d23eda3f76b5d9e803a7ae8d,TRAITORS by XCOPY,33500010002,721,1,"11 ETH ($35,933.81)",OpenSea
7,0x6ac1cc45808390fb37ff52404af8d315e25c9071b04ac794b6507366a03684d9,1629797032,2021-08-24 09:23:52,Bought,0xb394f1aa30ba874df3ae6097bf4c2474b2d8f3ac,TRAITORS by XCOPY,33500010018,721,1,"18 ETH ($57,106.26)",OpenSea
8,0x4872b05c7373f9c669ed51f0799043463a16ee72bc85f15afe9cc7ca8dd6f7a6,1629850878,2021-08-25 00:21:18,Bought,0x052564eb0fd8b340803df55def89c25c432f43f4,TRAITORS by XCOPY,33500010014,721,1,"25 ETH ($80,721.50)",OpenSea
9,0x400f660d3e33fb35ede323035d9010d1171a8f8f74b78c5425c452e65f4d1556,1629936464,2021-08-26 00:07:44,Bought,0x380165a20a0516b3fa503959dcec7da3ba4c964f,TRAITORS by XCOPY,33500010003,721,1,"50 ETH ($154,681.00)",OpenSea
10,0x1d15e0fe4bc50d42d85742095064688110765026c24281a6b0f066376b07e5aa,1638861872,2021-12-07 07:24:32,Bought,0x10890742a1a20a936132072c20ae77b081486190,TRAITORS by XCOPY,33500010002,721,1,"60 ETH ($258,582.00)",OpenSea
11,0x3dd27376f2a2dacbbc336a6c93e53614d001b40af3ac5e83bfb1c6d0eb0a14fd,1645224467,2022-02-18 22:47:47,Bid Won,0xb9b6856efd128294a912d584366448bc3d4ea979,TRAITORS by XCOPY,33500010001,721,1,"75 WETH ($208,554.00)",OpenSea
12,0x516014ec4002d55581a2e7ea26e3b7f78d8984f7d59e0b3558c09b0b53bcce11,1657217421,2022-07-07 18:10:21,Bought,0xbf404158f9a7f59024fc73e4b02aa79fe8be7044,TRAITORS by XCOPY,33500010019,721,1,"27 WETH ($33,389.28)",OpenSea
13,0xf52d5456aff881ea579ec5e7e5409ae5fa31a3964a11671a2b079c72fa2be5d8,1661990085,2022-08-31 23:54:45,Bought,0x6984200551887400856663318500911193804834,TRAITORS by XCOPY,33500010004,721,1,"28 ETH ($43,516.48)",OpenSea
14,0xf70a87d93127b8ced3264f9cb3c552d6a890eca5a22730b86d1723d29bf97756,1664623127,2022-10-01 11:18:47,Bought,0x4542536441115953256391440622471569190878,TRAITORS by XCOPY,33500010004,721,1,"23 ETH ($30,171.40)",OpenSea
